stock,client_name,exchange,deal_type,action,date,avg_price,quantity,percentage_traded
Tilaknagar Industries Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,18-11-2024,338.65,1816625,0.94%
Tilaknagar Industries Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,18-11-2024,338.65,1816625,0.94%
Ramkrishna Forgings Ltd.,SOCIETE GENERALE - ODI,NSE,Block,Sell,14-11-2024,922.8,200000,0.11%
PNB Housing Finance Ltd.,SOCIETE GENERALE - ODI,NSE,Bulk,Purchase,13-11-2024,939.3,1709750,0.66%
Tilaknagar Industries Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,31-10-2024,287.8,400000,0.21%
IndusInd Bank Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,25-10-2024,1083.79,29725,0.00%
IndusInd Bank Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,25-10-2024,1070.61,3930435,0.50%
Cigniti Technologies Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,23-10-2024,1423.15,227666,0.83%
Cigniti Technologies Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,23-10-2024,1425.29,539,0.00%
Garuda Construction and Engineering Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,15-10-2024,105,721527,0.97%
Transformers & Rectifiers (India) Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,14-10-2024,780.3,238972,0.16%
Sterling and Wilson Renewable Energy Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,27-09-2024,623,2010000,0.86%
Nuvama Wealth Management Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,27-09-2024,6702.6,87414,0.24%
Entero Healthcare Solutions Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,27-09-2024,1305,96207,0.22%
Gulf Oil Lubricants India Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-09-2024,1351,93000,0.19%
Five-Star Business Finance Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-09-2024,800.5,626211,0.21%
Spicejet Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,25-09-2024,62.43,940912,0.14%
Spicejet Ltd.,SOCIETE GENERALE,BSE,Bulk,Sell,25-09-2024,62.9,8356757,1.22%
Kross Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,16-09-2024,257.7,610848,0.95%
Kross Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,16-09-2024,245.22,95233,0.15%
Medi Assist Healthcare Services Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,03-09-2024,611.7,163484,0.23%
PB Fintech Ltd.,SOCIETE GENERALE ODI,BSE,Block,Purchase,29-08-2024,1719.75,210000,0.05%
Au Small Finance Bank Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,26-08-2024,630,689652,0.09%
FSN E-Commerce Ventures Ltd.,SOCIETE GENERALE ODI,BSE,Block,Purchase,23-08-2024,208.3,850000,0.03%
Alkem Laboratories Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,22-08-2024,5732.15,46000,0.04%
PNB Housing Finance Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,21-08-2024,802.5,124650,0.05%
HG Infra Engineering Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,20-08-2024,1566.5,157968,0.24%
HG Infra Engineering Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,20-08-2024,1566.5,126300,0.19%
Shriram Finance Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,19-08-2024,2981.5,296372,0.08%
Prudent Corporate Advisory Services Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,19-08-2024,2450,275000,0.66%
Netweb Technologies India Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,02-08-2024,2232.1,273975,0.49%
Zaggle Prepaid Ocean Services Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,01-08-2024,356.43,855514,0.70%
India Cements Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,29-07-2024,378.15,2061506,0.67%
Jyoti CNC Automation Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,29-07-2024,1123,260949,0.11%
Route Mobile Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,26-07-2024,1652.2,339046,0.54%
RBL Bank Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,25-07-2024,228,7093854,1.17%
India Cements Ltd.,SOCIETE GENERALE,NSE,Bulk,Sell,18-07-2024,342.66,1741126,0.56%
Zomato Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,16-07-2024,226.85,12769185,0.14%
Delhivery Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,10-07-2024,388.45,260004,0.04%
Mankind Pharma Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,10-07-2024,2082,120078,0.03%
Mankind Pharma Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,10-07-2024,2082,96064,0.02%
Religare Enterprises Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,01-07-2024,239,5050000,1.53%
EFC (I) Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,01-07-2024,565,350000,0.70%
HCL Technologies Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,28-06-2024,1440.5,144848,0.01%
Ugro Capital Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,28-06-2024,290.71,500000,0.54%
India Cements Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,27-06-2024,288.51,4403226,1.42%
Inox Green Energy Services Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,26-06-2024,166.5,2949716,0.80%
Dhani Services Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,25-06-2024,52.08,10000000,1.63%
Manappuram Finance Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,25-06-2024,194.5,3848759,0.45%
Ramkrishna Forgings Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,25-06-2024,920.75,3117544,1.72%
Tilaknagar Industries Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,25-06-2024,255.45,3530800,1.83%
CarTrade Tech Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,24-06-2024,828,595316,1.26%
RateGain Travel Technologies Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,20-06-2024,745,134300,0.11%
Sansera Engineering Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,19-06-2024,1200,358343,0.58%
Sansera Engineering Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,19-06-2024,1200,358343,0.58%
InterGlobe Aviation Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,13-06-2024,4300.4,521183,0.13%
MphasiS Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,10-06-2024,2363,1061500,0.56%
KFIN Technologies Ltd.,SOCIETE GENERALE,NSE,Bulk,Purchase,30-05-2024,712.5,2035279,1.19%
R R Kabel Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,30-05-2024,1701.1,97987,0.09%
PNB Housing Finance Ltd.,SOCIETE GENERALE,BSE,Bulk,Purchase,29-05-2024,724.55,1308680,0.50%
Timken India Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,28-05-2024,3913.35,52000,0.07%
Star Health and Allied Insurance Company Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,23-05-2024,535,500000,0.09%
Apollo Tyres Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,22-05-2024,477.35,2811350,0.44%
PB Fintech Ltd.,SOCIETE GENERALE - ODI,NSE,Block,Purchase,17-05-2024,1325.15,1595000,0.35%
Jindal Saw Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,16-05-2024,541.45,200000,0.03%
Cipla Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,15-05-2024,1345,508500,0.06%
Jindal Saw Ltd.,SOCIETE GENERALE,NSE,Block,Purchase,10-05-2024,525,200000,0.03%
ICICI Lombard General Insurance Company Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,09-05-2024,1722.5,110000,0.02%
ACC Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,2579.6,119588,0.06%
Oberoi Realty Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,1474.2,271901,0.07%
Oracle Financial Services Software Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,7143.05,63061,0.07%
Oil India Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,612.5,1535836,0.09%
Shriram Finance Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,2491.85,91197,0.02%
Alkem Laboratories Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,4867.65,103803,0.09%
KPIT Technologies Ltd.,SOCIETE GENERALE,BSE,Block,Purchase,26-04-2024,1373.95,1021271,0.37%
